GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unmsm,com.alumniportal.unmsm.service.impl,EducationServiceImpl,53,3,2,0,15,1,7,1,6,1
unmsm,com.alumniportal.unmsm.service.impl,CompanyServiceImpl,50,3,2,0,14,1,8,1,7,1
unmsm,com.alumniportal.unmsm.service.impl,WorkExperienceServiceImpl,53,3,2,0,15,1,7,1,6,1
unmsm,com.alumniportal.unmsm.service.impl,UserServiceImpl,52,3,2,0,14,1,8,1,7,1
unmsm,com.alumniportal.unmsm.service.impl,ProjectServiceImpl,53,3,2,0,15,1,7,1,6,1
unmsm,com.alumniportal.unmsm.service.impl,JobOfferServiceImpl,56,3,2,0,16,1,7,1,6,1
unmsm,com.alumniportal.unmsm.service.impl,CertificationServiceImpl,53,3,2,0,15,1,7,1,6,1
unmsm,com.alumniportal.unmsm.service.impl,ActivityServiceImpl,56,3,2,0,16,1,7,1,6,1
unmsm,com.alumniportal.unmsm.service.impl,ApplicationServiceImpl,89,3,4,0,23,1,9,1,7,1
unmsm,com.alumniportal.unmsm.service.impl,EnrollmentServiceImpl,92,3,4,0,24,1,9,1,7,1
unmsm,com.alumniportal.unmsm.controller,EnrollmentController,51,3,2,0,15,1,7,1,6,1
unmsm,com.alumniportal.unmsm.controller,ApplicationController,51,3,2,0,15,1,7,1,6,1
unmsm,com.alumniportal.unmsm.controller,ProjectController,41,3,2,0,12,1,6,1,5,1
unmsm,com.alumniportal.unmsm.controller,CertificationController,41,3,2,0,12,1,6,1,5,1
unmsm,com.alumniportal.unmsm.controller,ActivityController,46,3,2,0,14,1,6,1,5,1
unmsm,com.alumniportal.unmsm.controller,WorkExperienceController,41,3,2,0,12,1,6,1,5,1
unmsm,com.alumniportal.unmsm.controller,UserController,74,3,8,0,20,1,9,1,5,1
unmsm,com.alumniportal.unmsm.controller,JobOfferController,47,3,2,0,12,1,6,1,5,1
unmsm,com.alumniportal.unmsm.controller,CompanyController,70,3,6,0,18,1,9,1,6,1
unmsm,com.alumniportal.unmsm.controller,EducationController,41,3,2,0,12,1,6,1,5,1
unmsm,com.alumniportal.unmsm.persistence.impl,ApplicationDAOImpl,33,3,0,0,8,1,6,1,6,1
unmsm,com.alumniportal.unmsm.persistence.impl,ActivityDAOImpl,28,3,0,0,7,1,5,1,5,1
unmsm,com.alumniportal.unmsm.persistence.impl,JobOfferDAOImpl,28,3,0,0,7,1,5,1,5,1
unmsm,com.alumniportal.unmsm.persistence.impl,ProjectDAOImpl,28,3,0,0,7,1,5,1,5,1
unmsm,com.alumniportal.unmsm.persistence.impl,UserDAOImpl,33,3,0,0,8,1,6,1,6,1
unmsm,com.alumniportal.unmsm.persistence.impl,CompanyDAOImpl,33,3,0,0,8,1,6,1,6,1
unmsm,com.alumniportal.unmsm.persistence.impl,EducationDAOImpl,28,3,0,0,7,1,5,1,5,1
unmsm,com.alumniportal.unmsm.persistence.impl,CertificationDAOImpl,28,3,0,0,7,1,5,1,5,1
unmsm,com.alumniportal.unmsm.persistence.impl,WorkExperienceDAOImpl,28,3,0,0,7,1,5,1,5,1
unmsm,com.alumniportal.unmsm.persistence.impl,EnrollmentDAOImpl,33,3,0,0,8,1,6,1,6,1
